"","name","position","ovr","out","ins","pla","ath","def","reb","xbox","ps4","pc","NA"
"1",NA,"Oscar Robertson","PG",99,96,85,98,94,90,94,NA,NA,NA
"2",NA,"Shaquille O'Neal","C",99,62,97,75,90,96,99,NA,NA,NA
"3",NA,"David Robinson","C",99,80,95,54,90,96,98,NA,NA,NA
"4",NA,"Nate Thurmond","C",99,68,96,43,88,95,98,NA,NA,NA
"5",NA,"Kobe Bryant","SG",99,97,89,86,93,92,71,NA,NA,NA
"6",NA,"Carmelo Anthony","SF",99,98,90,81,93,89,79,NA,NA,NA
"7",NA,"Kyrie Irving","PG",99,99,72,98,92,81,42,NA,NA,NA
"8",NA,"James Harden","SG",99,99,87,98,96,86,94,NA,NA,NA
"9",NA,"Yao Ming","C",99,78,90,55,64,87,98,NA,NA,NA
"10",NA,"Larry Bird","SF",99,99,91,93,90,97,94,NA,NA,NA
"11",NA,"Magic Johnson","PG",99,96,93,99,96,95,93,NA,NA,NA
"12",NA,"Lonzo Ball","PG",99,95,69,99,86,88,77,NA,NA,NA
"13",NA,"Kevin Garnett","PF",99,92,98,77,90,97,99,NA,NA,NA
"14",NA,"Allen Iverson","SG",99,98,72,98,95,85,56,NA,NA,NA
"15",NA,"Michael Jordan","SG",99,98,97,93,96,96,82,NA,NA,NA
"16",NA,"Giannis Antetokounmpo","SF",99,94,96,91,95,96,96,NA,NA,NA
"17",NA,"Lebron James","SF",99,97,97,93,97,97,90,NA,NA,NA
"18",NA,"Kristaps Porzingis","PF",99,95,95,62,87,93,98,NA,NA,NA
"19",NA,"Baron Davis","PG",99,97,85,98,96,89,68,NA,NA,NA
"20",NA,"Kevin Durant","SF",99,98,94,84,91,94,88,NA,NA,NA
"21",NA,"Dirk Nowitzki","PF",99,98,92,71,81,89,98,NA,NA,NA
"22",NA,"Penny Hardaway","PG",99,95,91,97,95,92,84,NA,NA,NA
"23",NA,"Tracy McGrady","SG",99,98,95,90,95,93,84,NA,NA,NA
"24",NA,"Stephen Curry","PG",99,99,73,99,95,88,60,NA,NA,NA
"25",NA,"Derrick Rose","PG",99,97,79,98,97,87,49,NA,NA,NA
"26",NA,"James Harden","SG",99,99,89,99,96,86,94,NA,NA,NA
"27",NA,"Ben Simmons","SF",99,90,97,98,96,96,96,NA,NA,NA
"28",NA,"Louis Williams","SG",99,97,78,97,93,83,62,NA,NA,NA
"29",NA,"Victor Oladipo","SG",99,97,83,95,95,94,73,NA,NA,NA
"30",NA,"Rudy Gobert","C",99,57,94,48,88,98,98,NA,NA,NA
"31",NA,"James Harden","SG",99,99,89,99,96,86,94,NA,NA,NA
"32",NA,"Ben Simmons","SF",99,90,97,98,96,96,96,NA,NA,NA
"33",NA,"Louis Williams","SG",99,97,78,97,93,83,62,NA,NA,NA
"34",NA,"Victor Oladipo","SG",99,97,83,95,95,94,73,NA,NA,NA
"35",NA,"Rudy Gobert","C",99,57,94,48,88,98,98,NA,NA,NA
"36",NA,"Dwyane Wade","SG",99,96,92,98,94,95,81,NA,NA,NA
"37",NA,"Ray Allen","SG",99,99,83,90,91,88,66,NA,NA,NA
"38",NA,"Tim Ducan","PF",99,86,99,76,88,99,99,NA,NA,NA
"39",NA,"Kobe Bryant","SG",99,99,91,93,95,94,80,NA,NA,NA
"40",NA,"Paul George","SF",99,97,94,90,93,94,87,NA,NA,NA
"41",NA,"Kawhi Leonard","SF",99,98,97,90,98,97,87,NA,NA,NA
"42",NA,"Julius Erving","SF",99,98,97,93,97,96,97,NA,NA,NA
"43",NA,"Anthony Davis","PF",99,93,98,69,91,96,98,NA,NA,NA
"44",NA,"Karl-Anthony Towns","C",99,93,97,72,91,96,97,NA,NA,NA
"45",NA,"John Wall","PG",99,97,88,98,96,94,76,NA,NA,NA
"46",NA,"Hakeem Olajuwon","C",99,90,99,74,89,99,99,NA,NA,NA
"47",NA,"Russell Westbrook","PG",99,99,93,99,98,96,98,NA,NA,NA
"48",NA,"Donovan Mitchell","SG",99,98,89,97,95,91,77,NA,NA,NA
"49",NA,"Chris Webber","PF",99,95,98,84,92,95,98,NA,NA,NA
"50",NA,"Vince Carter","SF",99,98,95,89,95,93,80,NA,NA,NA
"51",NA,"Dominique Wilkins","SF",99,96,93,89,93,94,82,NA,NA,NA
"52",NA,"Lebron James","SF",99,99,99,99,99,99,99,NA,NA,NA
"53",NA,"Michael Jordan","SG",99,99,99,99,99,99,99,NA,NA,NA
"54",NA,"Blake Griffin","PF",98,91,98,83,93,91,98,NA,NA,NA
"55",NA,"Ben Simmons","PG",98,89,92,98,95,94,96,NA,NA,NA
"56",NA,"Kevin Love","PF",98,92,93,66,83,89,99,NA,NA,NA
"57",NA,"Klay Thompson","SG",98,98,78,86,90,93,64,NA,NA,NA
"58",NA,"Dave Cowens","C",98,84,95,61,90,98,99,NA,NA,NA
"59",NA,"Lebron James","SF",98,95,94,91,95,94,83,NA,NA,NA
"60",NA,"Wilt Chamberlain","C",98,73,99,68,91,96,99,NA,NA,NA
"61",NA,"Kobe Bryant","SG",98,96,87,84,93,90,65,NA,NA,NA
"62",NA,"Patrick Ewing","C",98,86,96,68,88,96,98,NA,NA,NA
"63",NA,"John Stockton","PG",98,98,60,99,91,87,40,NA,NA,NA
"64",NA,"Kawhi Leonard","SF",98,97,90,82,94,97,87,NA,NA,NA
"65",NA,"Kevin Mchale","PF",98,88,97,65,87,98,98,NA,NA,NA
"66",NA,"Michael Jordan","SG",98,95,93,83,93,94,70,NA,NA,NA
"67",NA,"Isiah Thomas","PG",98,94,76,99,94,86,48,NA,NA,NA
"68",NA,"Tim Duncan","PF",98,84,98,73,87,97,99,NA,NA,NA
"69",NA,"Karl Malone","PF",98,88,98,80,95,95,98,NA,NA,NA
"70",NA,"Carmelo Anthony","SF",98,96,87,78,93,83,71,NA,NA,NA
"71",NA,"Bill Russell","C",98,52,98,77,91,99,99,NA,NA,NA
"72",NA,"Chris Paul","PG",98,99,74,99,96,94,63,NA,NA,NA
"73",NA,"Elgin Baylor","SF",98,94,94,87,94,95,98,NA,NA,NA
"74",NA,"Kareem Abdul-Jabbar","C",98,84,98,82,91,97,99,NA,NA,NA
"75",NA,"Shaquille O'Neal","C",98,53,92,72,88,94,98,NA,NA,NA
"76",NA,"Vince Carter","SF",98,97,89,83,93,83,70,NA,NA,NA
"77",NA,"Tracy McGrady","SG",98,98,93,88,94,90,78,NA,NA,NA
"78",NA,"Chris Webber","PF",98,90,97,81,87,92,98,NA,NA,NA
"79",NA,"Hakeem Olajuwon","C",98,85,98,74,87,98,99,NA,NA,NA
"80",NA,"Jerry West","PG",98,98,79,98,93,93,76,NA,NA,NA
"81",NA,"Kevin Durant","SF",98,98,93,84,88,92,84,NA,NA,NA
"82",NA,"Dwyane Wade","SG",98,94,89,95,93,94,73,NA,NA,NA
"83",NA,"Steve Nash","PG",98,97,58,99,87,82,49,NA,NA,NA
"84",NA,"Julius Erving","SF",97,94,92,87,93,91,89,NA,NA,NA
"85",NA,"Dirk Nowitzki","PF",97,97,89,70,77,83,93,NA,NA,NA
"86",NA,"Paul George","SF",97,96,91,83,90,93,80,NA,NA,NA
"87",NA,"Chris Bosh","PF",97,91,93,71,85,87,97,NA,NA,NA
"88",NA,"Ray Allen","SG",97,99,80,86,90,83,62,NA,NA,NA
"89",NA,"Klay Thompson","SG",97,98,78,85,89,93,64,NA,NA,NA
"90",NA,"John Havlicek","SF",97,97,79,83,94,94,82,NA,NA,NA
"91",NA,"Demar Derozan","SG",97,96,88,89,87,82,53,NA,NA,NA
"92",NA,"Anthony Davis","PF",97,89,95,60,88,94,98,NA,NA,NA
"93",NA,"Donovan Mitchell","SG",97,97,82,95,92,87,50,NA,NA,NA
"94",NA,"Lebron James","SF",97,94,92,91,95,89,83,NA,NA,NA
"95",NA,"Stephon Marbury","PG",97,96,76,98,94,89,67,NA,NA,NA
"96",NA,"Clyde Drexler","SG",97,92,90,82,93,91,80,NA,NA,NA
"97",NA,"Kobe Bryant","SG",97,94,87,84,93,89,65,NA,NA,NA
"98",NA,"Scottie Pippen","SF",97,91,86,92,93,94,85,NA,NA,NA
"99",NA,"Chris Mullin","SF",97,98,82,84,88,89,63,NA,NA,NA
"100",NA,"Larry Bird","SF",97,97,90,91,87,87,87,NA,NA,NA
"101",NA,"Magic Johnson","PG",97,93,87,97,94,92,90,NA,NA,NA
"102",NA,"Paul Pierce","SF",97,96,91,85,91,91,80,NA,NA,NA
"103",NA,"Karl-Anthony Towns","C",97,92,95,70,88,92,97,NA,NA,NA
"104",NA,"Tony Parker","PG",97,95,66,96,91,83,39,NA,NA,NA
"105",NA,"Pau Gasol","C",97,84,91,69,81,86,98,NA,NA,NA
"106",NA,"Russell Westbrook","PG",97,96,85,98,97,89,97,NA,NA,NA
"107",NA,"Lebron James","SF",97,94,92,91,95,92,83,NA,NA,NA
"108",NA,"Demarcus Cousins","C",97,92,97,78,92,92,99,NA,NA,NA
"109",NA,"Damian Lillard","PG",97,98,74,97,94,85,54,NA,NA,NA
"110",NA,"George Gervin","SF",97,94,92,83,92,88,85,NA,NA,NA
"111",NA,"Jimmy Butler","SG",97,95,88,86,93,94,61,NA,NA,NA
"112",NA,"Joel Embiid","C",97,87,96,70,87,92,97,NA,NA,NA
"113",NA,"Jason Kidd","PG",97,95,78,98,96,95,86,NA,NA,NA
"114",NA,"Oscar Robertson","PG",97,94,84,96,94,88,92,NA,NA,NA
"115",NA,"Yao Ming","C",97,76,89,55,63,86,97,NA,NA,NA
"116",NA,"Walt Frazier","PG",97,94,82,97,95,93,77,NA,NA,NA
"117",NA,"Kyrie Irving","PG",97,99,71,96,90,78,42,NA,NA,NA
"118",NA,"Bill Walton","C",97,72,95,91,85,96,98,NA,NA,NA
"119",NA,"Joe Dumars","SG",97,96,63,90,92,88,37,NA,NA,NA
"120",NA,"Stephen Curry","PG",97,99,64,97,93,83,52,NA,NA,NA
"121",NA,"Tim Hardaway","PG",97,95,61,98,93,83,44,NA,NA,NA
"122",NA,"Elvin Hayes","PF",97,76,98,62,91,98,99,NA,NA,NA
"123",NA,"Rick Barry","SF",97,96,85,89,90,93,85,NA,NA,NA
"124",NA,"Draymond Green","PF",97,91,89,91,93,99,98,NA,NA,NA
"125",NA,"Robert Parish","C",97,80,96,46,85,89,98,NA,NA,NA
"126",NA,"Alonzo Mourning","C",97,81,96,56,86,96,98,NA,NA,NA
"127",NA,"Nate Archibald","PG",97,97,80,98,95,87,64,NA,NA,NA
"128",NA,"Andrew Wiggins","SF",97,96,87,78,92,95,83,NA,NA,NA
"129",NA,"Dave Bing","PG",96,96,71,96,91,87,61,NA,NA,NA
"130",NA,"Markelle Fultz","PG",96,96,88,98,94,88,77,NA,NA,NA
"131",NA,"Kyle Lowry","PG",96,96,61,96,94,91,60,NA,NA,NA
"132",NA,"Tom Chambers","PF",96,91,96,67,88,88,94,NA,NA,NA
"133",NA,"Eddie Jones","SG",96,95,80,77,90,90,60,NA,NA,NA
"134",NA,"Dikembe Mutombo","C",96,58,92,49,83,94,98,NA,NA,NA
"135",NA,"Steve Nash","PG",96,95,57,97,87,82,49,NA,NA,NA
"136",NA,"Dan Issel","PF",96,89,84,57,80,86,98,NA,NA,NA
"137",NA,"Dennis Johnson","PG",96,90,77,92,93,93,41,NA,NA,NA
"138",NA,"John Wall","PG",96,93,80,98,95,91,66,NA,NA,NA
"139",NA,"Bob Cousy","PG",96,98,75,98,94,84,75,NA,NA,NA
"140",NA,"Marc Gasol","C",96,90,92,64,81,93,97,NA,NA,NA
"141",NA,"Ron Artest","SF",96,91,87,80,93,98,52,NA,NA,NA
"142",NA,"Charles Oakley","PF",96,82,92,55,87,97,98,NA,NA,NA
"143",NA,"Lou Hudson","SF",96,94,83,81,89,85,66,NA,NA,NA
"144",NA,"Bernard King","SF",96,86,95,87,92,91,83,NA,NA,NA
"145",NA,"Artis Gilmore","C",96,63,93,53,78,93,97,NA,NA,NA
"146",NA,"Kevin Durant","SF",96,97,89,80,85,88,82,NA,NA,NA
"147",NA,"Manu Ginobili","SG",96,96,73,95,91,83,66,NA,NA,NA
