"","name","position","ovr","out","ins","pla","ath","def","reb","xbox","ps4","pc","NA"
"1",NA,"'96 Michael Jordan","SG",99,95,88,91,93,92,75,NA,NA,NA
"2",NA,"'15 Kobe Bryant","SG",99,97,79,95,84,88,65,190000,190000,NA
"3",NA,"Stephen Curry","PG",99,98,66,98,89,78,54,340000,200000,NA
"4",NA,"LeBron James","SF",99,94,89,91,92,91,91,575000,650000,NA
"5",NA,"'71 Kareem Adbul-Jabbar","C",99,75,93,56,89,86,98,600000,740000,NA
"6",NA,"Kyrie Irving","PG",98,98,70,95,91,74,49,290000,280000,NA
"7",NA,"'62 Oscar Robertson","PG",98,92,78,98,90,84,88,175000,140000,NA
"8",NA,"'06 Dwyane Wade","SG",98,90,82,93,92,83,76,430000,670000,NA
"9",NA,"'03 Tim Duncan","PF",98,84,89,76,81,87,98,260000,300000,NA
"10",NA,"'06 Kobe Bryant","SG",98,96,81,81,88,83,60,500000,490000,NA
"11",NA,"'92 Magic Johnson","PG",98,92,81,97,91,88,66,700000,600000,NA
"12",NA,"'91 Michael Jordan","SG",98,91,85,84,89,91,64,400000,370000,NA
"13",NA,"'90 Hakeem Olajuwon","C",98,79,88,60,82,92,96,NA,NA,NA
"14",NA,"'90 John Stockton","PG",97,93,64,98,86,86,38,NA,NA,NA
"15",NA,"'72 Kareem Abdul-Jabbar","C",97,72,90,56,82,84,96,NA,NA,NA
"16",NA,"'85 Larry Bird","SF",97,95,78,86,76,89,76,750000,750000,NA
"17",NA,"Kyrie Irving TBT","PG",97,98,67,94,86,74,49,300000,230000,NA
"18",NA,"'60 Bill Russell","C",97,58,88,73,90,93,98,NA,NA,NA
"19",NA,"'90 Magic Johnson","PG",97,89,80,97,91,88,66,NA,NA,NA
"20",NA,"'74 Julius Erving","SF",97,92,88,77,94,86,68,330000,335000,NA
"21",NA,"'62 Bill Russell","C",97,57,89,73,88,92,98,110000,100000,NA
"22",NA,"'13 LeBron James","SF",97,88,85,86,90,86,71,360000,315000,NA
"23",NA,"'14 Carmelo Anthony","SF",97,97,89,80,86,69,77,475000,370000,NA
"24",NA,"Anthony Davis","PF",97,91,89,64,87,87,98,400000,350000,NA
"25",NA,"'60 Wilt Chamberlain","C",97,62,89,68,88,86,98,280000,190000,NA
"26",NA,"'03 Tim Duncan","PF",97,81,88,68,75,86,96,110000,100000,NA
"27",NA,"'00 Shaquille O'Neal","C",97,57,92,75,80,88,96,400000,500000,NA
"28",NA,"'04 Dirk Nowitzki","PF",97,95,85,65,76,84,96,220000,170000,NA
"29",NA,"'08 Kobe Bryant","SG",97,91,84,89,88,77,56,260000,235000,NA
