"","name","position","ovr","out","ins","pla","ath","def","reb","xbox","ps4","pc","NA"
"1",NA,"Giannis Antetokounmpo","SF",99,98,99,99,99,99,99,NA,NA,NA
"2",NA,"Wilt Chamberlain","C",99,74,99,68,92,97,99,NA,NA,NA
"3",NA,"Isiah Thomas","PG",99,98,87,99,95,88,77,NA,NA,NA
"4",NA,"Chris Paul","PG",99,99,81,99,96,94,69,NA,NA,NA
"5",NA,"James Worthy","SF",99,92,96,83,91,88,96,NA,NA,NA
"6",NA,"Walt Frazier","PG",99,97,89,97,96,95,81,NA,NA,NA
"7",NA,"Blake Griffin","PF",99,94,99,82,95,94,99,NA,NA,NA
"8",NA,"Karl Malone","PF",99,93,98,85,95,97,98,NA,NA,NA
"9",NA,"Elgin Baylor","SF",99,96,94,93,96,94,96,NA,NA,NA
"10",NA,"Allen Iverson","SG",99,99,90,98,95,92,70,NA,NA,NA
"11",NA,"Bob Pettit","PF",99,96,96,78,93,96,99,NA,NA,NA
"12",NA,"Michael Jordan","SG",99,97,97,91,95,97,85,NA,NA,NA
"13",NA,"Michael Jordan","SG",99,99,99,99,99,99,99,NA,NA,NA
"14",NA,"Kawhi Leonard","SF",99,96,94,82,96,97,73,NA,NA,NA
"15",NA,"Paul George","SF",99,96,93,86,94,95,87,NA,NA,NA
"16",NA,"C.J. McCollum","SG",99,98,79,95,93,84,76,NA,NA,NA
"17",NA,"Steve Nash","PG",99,99,77,99,93,88,63,NA,NA,NA
"18",NA,"Trae Young","PG",99,99,72,98,91,83,73,NA,NA,NA
"19",NA,"Luka Doncic","SF",99,98,90,96,92,88,89,NA,NA,NA
"20",NA,"Ben Simmons","PG",99,94,98,98,96,93,97,NA,NA,NA
"21",NA,"Kareem Abdul-Jabbar","C",99,87,99,79,94,98,99,NA,NA,NA
"22",NA,"David Robinson","C",99,93,98,51,94,96,98,NA,NA,NA
"23",NA,"Derrick Rose","PG",99,98,93,98,96,94,80,NA,NA,NA
"24",NA,"Gary Payton","PG",99,97,93,96,96,99,82,NA,NA,NA
"25",NA,"Clyde Drexler","SG",99,97,95,89,95,94,84,NA,NA,NA
"26",NA,"Kevin McHale","PF",99,95,98,76,93,98,98,NA,NA,NA
"27",NA,"Carmelo Anthony","SF",99,99,94,87,95,89,86,NA,NA,NA
"28",NA,"Brandon Roy","SG",99,98,89,91,92,90,77,NA,NA,NA
"29",NA,"Kobe Bryant","SG",99,99,99,99,99,99,99,NA,NA,NA
"30",NA,"Kobe Bryant","SG",99,98,96,87,95,96,86,NA,NA,NA
"31",NA,"George Gervin","SF",99,96,93,84,93,94,86,NA,NA,NA
"32",NA,"Gilbert Arenas","PG",99,99,93,98,95,92,77,NA,NA,NA
"33",NA,"Moses Malone","C",99,88,99,77,95,99,99,NA,NA,NA
"34",NA,"Kawhi Leonard","SF",99,98,97,90,96,98,93,NA,NA,NA
"35",NA,"Pascal Siakam","PF",99,93,94,76,91,94,97,NA,NA,NA
"36",NA,"Marc Gasol","C",99,88,93,75,85,86,97,NA,NA,NA
"37",NA,"Fred VanVleet","PG",99,97,67,97,92,92,64,NA,NA,NA
"38",NA,"Kyle Lowry","PG",99,97,64,98,95,90,76,NA,NA,NA
"39",NA,"Hakeem Olajuwon","C",99,93,98,75,92,98,99,NA,NA,NA
"40",NA,"Anthony Davis","PF",99,94,98,79,94,97,97,NA,NA,NA
"41",NA,"Lonzo Ball","PG",99,96,93,99,96,95,90,NA,NA,NA
"42",NA,"Oscar Robertson","PG",99,97,95,98,95,94,98,NA,NA,NA
"43",NA,"James Harden","SG",99,98,94,98,95,89,86,NA,NA,NA
"44",NA,"Yao Ming","C",99,86,94,71,83,94,99,NA,NA,NA
